date,store,units_sold,revenue,category,is_end_of_month
2025-10-27,Rome,134.0,875.02,groceries,False
2025-12-25,Syracuse,31.0,1043.15,home goods,False
2025-09-29,Utica,39.0,3312.27,electronics,True
2025-01-30,Utica,43.0,1256.89,home goods,True
2025-06-18,Syracuse,107.0,740.44,groceries,False
2025-05-16,Syracuse,69.0,1669.8,clothing,False
2025-06-05,Syracuse,25.0,750.75,home goods,False
2025-07-16,Albany,23.0,342.24,toys,False
2025-11-02,Syracuse,60.0,4918.2,electronics,False
2025-07-14,Rome,111.0,781.44,groceries,False
2025-04-09,Rome,99.0,724.68,groceries,False
2025-08-26,Utica,35.0,775.6,clothing,False
2025-07-21,Albany,111.0,674.88,groceries,False
2025-03-02,Utica,76.0,1874.92,clothing,False
2025-01-09,Utica,189.0,1215.27,groceries,False
2025-10-19,Rome,70.0,5440.4,electronics,False
2025-07-22,Albany,26.0,363.48,toys,False
2025-04-17,Rome,59.0,1396.53,clothing,False
2025-10-25,Syracuse,41.0,3385.78,electronics,False
2025-09-27,Rome,48.0,4152.48,electronics,False
2025-03-04,Rome,31.0,463.76,toys,False
2025-02-04,Albany,112.0,726.88,groceries,False
2025-04-17,Albany,80.0,2006.4,clothing,False
2025-01-25,Rome,57.0,1809.18,home goods,False
2025-11-16,Syracuse,66.0,1611.06,clothing,False
2025-02-23,Syracuse,49.0,1128.13,electronics,False
2025-08-31,Syracuse,24.0,364.8,toys,True
2025-09-03,Rome,41.0,1263.21,home goods,False
2025-02-18,Syracuse,131.0,830.54,groceries,False
2025-08-10,Rome,57.0,4721.88,electronics,False
2025-04-11,Albany,22.0,1950.96,electronics,False
2025-10-26,Albany,34.0,493.34,toys,False
2025-02-21,Syracuse,14.0,199.64,toys,False
2025-04-20,Utica,75.0,1990.5,clothing,False
2025-08-26,Utica,32.0,2727.36,electronics,False
2025-02-10,Rome,24.0,371.04,toys,False
2025-02-18,Utica,138.0,887.34,groceries,False
2025-03-08,Albany,45.0,1469.7,home goods,False
2025-12-26,Utica,22.0,699.82,home goods,False
2025-02-21,Albany,24.0,560.64,clothing,False
2025-07-19,Syracuse,26.0,386.1,toys,False
2025-08-04,Syracuse,27.0,390.69,toys,False
2025-11-01,Utica,51.0,1333.65,clothing,False
2025-12-27,Albany,32.0,505.28,toys,False
2025-12-27,Rome,54.0,4481.46,electronics,False
2025-06-25,Syracuse,29.0,443.99,toys,False
2025-06-26,Rome,27.0,355.59,toys,False
2025-11-07,Utica,38.0,3244.44,electronics,False
2025-06-25,Utica,42.0,3643.5,electronics,False
2025-02-14,Syracuse,47.0,3939.07,electronics,False
2025-04-24,Rome,39.0,3262.35,electronics,False
2025-12-18,Utica,46.0,1130.92,clothing,False
2025-07-30,Utica,29.0,1128.13,home goods,True
2025-10-17,Albany,14.0,205.8,toys,False
2025-01-01,Albany,27.0,385.56,toys,False
2025-06-30,Albany,181.0,1203.65,groceries,True
2025-06-28,Utica,197.0,1270.65,groceries,True
2025-01-31,Syracuse,39.0,1241.37,home goods,True
2025-07-01,Utica,42.0,1285.62,home goods,False
2025-12-02,Rome,59.0,4816.76,electronics,False
2025-02-16,Rome,150.0,979.5,groceries,False
2025-09-15,Albany,40.0,883.2,clothing,False
2025-04-26,Albany,62.0,1477.46,clothing,False
2025-12-08,Utica,30.0,973.2,home goods,False
2025-10-04,Utica,57.0,1343.49,clothing,False
2025-04-08,Syracuse,20.0,284.4,toys,False
2025-12-06,Syracuse,94.0,2394.18,clothing,False
2025-05-09,Rome,149.0,928.27,groceries,False
2025-08-30,Utica,46.0,1262.91,home goods,True
2025-06-30,Utica,60.0,1423.8,clothing,True
2025-03-07,Rome,28.0,977.76,home goods,False
2025-03-10,Albany,31.0,498.17,toys,False
2025-08-02,Albany,22.0,312.62,toys,False
2025-01-28,Syracuse,23.0,302.22,toys,False
2025-02-07,Syracuse,46.0,1259.02,clothing,False
2025-05-13,Utica,17.0,558.62,home goods,False
2025-06-20,Rome,37.0,1216.19,home goods,False
2025-10-31,Rome,31.0,950.46,home goods,True
2025-08-04,Utica,63.0,5066.46,electronics,False
2025-08-30,Rome,29.0,409.19,toys,True
2025-07-21,Rome,24.0,796.08,home goods,False
2025-05-05,Utica,24.0,374.16,toys,False
2025-05-24,Syracuse,155.0,948.6,groceries,False
2025-01-09,Rome,58.0,1450.0,clothing,False
2025-01-25,Albany,32.0,462.08,toys,False
2025-04-10,Albany,52.0,1134.64,clothing,False
2025-01-21,Albany,67.0,1704.48,clothing,False
2025-09-11,Utica,22.0,322.52,toys,False
2025-12-21,Syracuse,148.0,1004.92,groceries,False
2025-12-25,Rome,131.0,846.26,groceries,False
2025-08-01,Syracuse,34.0,847.28,clothing,False
2025-02-24,Rome,40.0,1374.4,home goods,False
2025-03-13,Albany,78.0,1822.86,clothing,False
2025-12-13,Rome,61.0,5289.92,electronics,False
2025-04-22,Utica,39.0,1186.38,home goods,False
2025-09-23,Rome,26.0,442.26,toys,False
2025-10-07,Syracuse,86.0,621.78,groceries,False
2025-08-06,Syracuse,125.0,861.25,groceries,False
2025-08-08,Albany,31.0,1031.37,home goods,False
2025-09-23,Albany,40.0,924.0,clothing,False
2025-09-12,Utica,111.0,711.51,groceries,False
2025-04-02,Rome,48.0,317.28,groceries,False
2025-02-08,Utica,24.0,730.32,home goods,False
2025-04-26,Rome,164.0,1010.24,groceries,False
2025-02-08,Albany,164.0,1049.6,groceries,False
2025-04-27,Rome,56.0,4811.52,electronics,False
2025-02-27,Rome,33.0,1059.63,home goods,True
2025-02-09,Rome,88.0,2162.16,clothing,False
2025-05-30,Rome,35.0,2906.75,electronics,True
2025-10-14,Syracuse,39.0,1226.16,home goods,False
2025-03-14,Albany,37.0,832.5,clothing,False
2025-09-07,Albany,32.0,1143.04,home goods,False
2025-01-11,Albany,72.0,1820.16,clothing,False
2025-05-05,Rome,29.0,464.87,toys,False
2025-05-21,Syracuse,72.0,1717.92,clothing,False
2025-08-07,Syracuse,44.0,1383.8,home goods,False
2025-10-13,Utica,122.0,889.38,groceries,False
2025-02-18,Utica,42.0,1352.4,home goods,False
2025-07-28,Rome,87.0,553.32,groceries,False
2025-08-08,Utica,136.0,920.72,groceries,False
2025-07-20,Syracuse,43.0,3739.28,electronics,False
2025-07-30,Utica,50.0,1186.5,clothing,True
2025-03-01,Utica,100.0,2321.0,clothing,False
2025-02-16,Albany,70.0,1848.7,clothing,False
2025-05-03,Albany,74.0,1794.5,clothing,False
2025-04-01,Rome,37.0,1250.23,home goods,False
2025-11-05,Syracuse,140.0,862.4,groceries,False
2025-03-02,Albany,89.0,2240.13,clothing,False
2025-04-21,Syracuse,217.0,1484.28,groceries,False
2025-04-26,Syracuse,59.0,5493.49,electronics,False
2025-01-05,Rome,34.0,514.42,toys,False
2025-06-10,Utica,66.0,1465.2,clothing,False
2025-07-27,Albany,216.0,1440.72,groceries,False
2025-06-26,Rome,135.0,815.4,groceries,False
2025-09-05,Albany,40.0,1019.6,clothing,False
2025-10-29,Utica,56.0,1128.13,clothing,True
2025-02-18,Rome,23.0,336.49,toys,False
2025-07-06,Syracuse,48.0,1573.44,home goods,False
2025-08-02,Syracuse,48.0,1562.4,home goods,False
2025-04-09,Syracuse,25.0,363.25,toys,False
2025-09-01,Syracuse,51.0,4338.57,electronics,False
2025-12-23,Rome,61.0,1308.45,clothing,False
2025-05-23,Utica,31.0,460.04,toys,False
2025-01-04,Albany,43.0,649.3,toys,False
2025-01-30,Syracuse,23.0,336.49,toys,True
2025-09-22,Utica,22.0,339.9,toys,False
2025-07-17,Syracuse,139.0,795.08,groceries,False
2025-12-17,Utica,51.0,4177.92,electronics,False
2025-07-15,Albany,49.0,1737.54,home goods,False
2025-04-16,Utica,27.0,410.67,toys,False
2025-11-21,Rome,26.0,390.26,toys,False
2025-07-17,Albany,142.0,923.0,groceries,False
2025-12-11,Syracuse,23.0,324.3,toys,False
2025-01-19,Utica,44.0,3572.8,electronics,False
2025-09-14,Rome,117.0,3039.66,clothing,False
2025-12-29,Utica,71.0,1750.86,clothing,True
2025-07-20,Utica,62.0,5457.24,electronics,False
2025-02-15,Albany,37.0,563.88,toys,False
2025-05-18,Albany,35.0,521.5,toys,False
2025-09-01,Rome,34.0,3190.22,electronics,False
2025-05-25,Rome,40.0,1276.4,home goods,False
2025-07-22,Rome,55.0,1795.75,home goods,False
2025-10-31,Rome,79.0,1998.7,clothing,True
2025-07-06,Utica,46.0,3909.54,electronics,False
2025-10-09,Utica,31.0,1056.79,home goods,False
2025-03-18,Syracuse,75.0,1794.0,clothing,False
2025-07-23,Syracuse,39.0,3247.53,electronics,False
2025-03-08,Albany,88.0,2170.08,clothing,False
2025-06-12,Rome,21.0,1517.04,electronics,False
2025-03-01,Syracuse,37.0,3267.47,electronics,False
2025-12-30,Utica,25.0,382.0,toys,True
2025-11-13,Utica,118.0,762.28,groceries,False
2025-09-09,Syracuse,65.0,1625.65,clothing,False
2025-09-06,Syracuse,66.0,5571.72,electronics,False
2025-02-11,Utica,17.0,247.52,toys,False
2025-03-02,Utica,46.0,1459.58,home goods,False
2025-11-08,Rome,132.0,927.96,groceries,False
2025-04-22,Utica,134.0,817.4,groceries,False
2025-07-31,Albany,57.0,1439.25,clothing,True
2025-07-24,Rome,35.0,1149.75,home goods,False
2025-03-18,Albany,51.0,1115.37,clothing,False
2025-08-07,Rome,23.0,368.69,toys,False
2025-10-01,Syracuse,46.0,1592.06,home goods,False
2025-07-05,Utica,46.0,4187.38,electronics,False
2025-10-28,Albany,14.0,191.66,toys,False
2025-10-02,Albany,114.0,734.16,groceries,False
2025-10-24,Albany,61.0,1503.65,clothing,False
2025-09-28,Albany,26.0,365.04,toys,True
2025-02-08,Albany,44.0,1368.4,home goods,False
2025-10-03,Utica,50.0,1019.0,clothing,False
2025-08-06,Syracuse,71.0,1664.24,clothing,False
2025-05-20,Syracuse,38.0,1173.06,home goods,False
2025-10-01,Albany,40.0,3303.6,electronics,False
2025-09-27,Albany,43.0,4042.0,electronics,False
2025-08-13,Albany,18.0,276.12,toys,False
2025-05-15,Rome,141.0,862.92,groceries,False
2025-11-02,Rome,74.0,1919.56,clothing,False
2025-06-05,Syracuse,80.0,2083.2,clothing,False
2025-01-26,Rome,33.0,1039.17,home goods,False
2025-03-22,Rome,24.0,354.0,toys,False
2025-03-26,Rome,50.0,1132.5,clothing,False
2025-10-27,Utica,125.0,843.75,groceries,False
2025-06-05,Utica,101.0,661.55,groceries,False
2025-06-02,Albany,39.0,1019.85,clothing,False
2025-08-17,Syracuse,35.0,1002.4,home goods,False
2025-03-23,Albany,32.0,474.88,toys,False
2025-12-05,Syracuse,122.0,744.2,groceries,False
2025-11-02,Rome,36.0,563.4,toys,False
2025-05-20,Utica,35.0,2999.15,electronics,False
2025-02-09,Utica,43.0,3777.98,electronics,False
2025-02-22,Rome,36.0,515.52,toys,False
2025-08-17,Utica,33.0,513.48,toys,False
2025-12-09,Syracuse,29.0,2431.94,electronics,False
2025-09-25,Rome,50.0,1174.5,clothing,False
2025-02-10,Utica,50.0,1714.0,home goods,False
2025-11-03,Syracuse,45.0,3812.4,electronics,False
2025-03-25,Rome,39.0,1252.29,home goods,False
2025-01-07,Syracuse,36.0,559.8,toys,False
2025-07-21,Utica,22.0,677.6,home goods,False
2025-06-01,Syracuse,29.0,470.09,toys,False
2025-09-08,Albany,146.0,944.62,groceries,False
2025-07-07,Utica,117.0,712.53,groceries,False
2025-07-07,Albany,85.0,506.6,groceries,False
2025-06-22,Utica,154.0,914.76,groceries,False
2025-02-08,Utica,63.0,5434.38,electronics,False
2025-07-10,Syracuse,9.0,123.66,toys,False
2025-03-23,Utica,66.0,1566.84,clothing,False
2025-04-07,Rome,26.0,402.48,toys,False
2025-10-31,Syracuse,123.0,773.67,groceries,True
2025-09-02,Albany,43.0,3510.52,electronics,False
2025-12-25,Albany,26.0,423.02,toys,False
2025-03-03,Syracuse,42.0,1295.28,home goods,False
2025-01-19,Utica,78.0,2035.8,clothing,False
2025-08-23,Rome,51.0,1649.85,home goods,False
2025-02-03,Utica,38.0,3450.4,electronics,False
2025-09-23,Utica,41.0,3300.5,electronics,False
2025-12-29,Albany,22.0,1128.13,home goods,True
2025-05-05,Syracuse,45.0,3795.75,electronics,False
2025-03-02,Albany,42.0,627.9,toys,False
2025-11-11,Albany,44.0,1447.16,home goods,False
2025-09-04,Syracuse,39.0,3128.58,electronics,False
2025-09-10,Syracuse,90.0,2254.5,clothing,False
2025-02-04,Albany,67.0,1842.5,clothing,False
2025-08-16,Albany,40.0,1281.6,home goods,False
2025-09-28,Utica,35.0,1106.0,home goods,True
2025-11-04,Rome,134.0,900.48,groceries,False
2025-02-27,Utica,22.0,353.1,toys,True
2025-04-30,Utica,53.0,1153.81,clothing,True
2025-09-26,Albany,36.0,3189.24,electronics,False
2025-10-11,Albany,79.0,1997.12,clothing,False
2025-11-04,Syracuse,45.0,1077.75,clothing,False
2025-10-02,Rome,77.0,1831.83,clothing,False
2025-06-07,Rome,27.0,399.06,toys,False
2025-02-03,Syracuse,35.0,741.65,clothing,False
2025-01-26,Utica,139.0,935.47,groceries,False
2025-02-17,Rome,34.0,1151.58,home goods,False
2025-06-29,Albany,40.0,3566.0,electronics,True
2025-03-29,Rome,76.0,1915.96,clothing,True
2025-01-30,Syracuse,33.0,3012.24,electronics,True
2025-09-13,Utica,51.0,1280.1,clothing,False
2025-01-18,Utica,54.0,1816.56,home goods,False
2025-03-30,Syracuse,34.0,1128.13,toys,True
2025-09-24,Syracuse,144.0,925.92,groceries,False
2025-12-11,Utica,51.0,4511.97,electronics,False
2025-05-16,Syracuse,49.0,4392.36,electronics,False
2025-08-20,Albany,49.0,1109.85,clothing,False
2025-08-20,Albany,33.0,520.74,toys,False
2025-11-27,Rome,62.0,378.82,groceries,False
2025-04-27,Albany,36.0,1191.24,home goods,False
2025-07-24,Albany,51.0,1236.75,clothing,False
2025-01-04,Utica,49.0,1490.58,home goods,False
2025-10-02,Utica,94.0,591.26,groceries,False
2025-07-01,Albany,87.0,2109.75,clothing,False
2025-11-11,Utica,119.0,763.98,groceries,False
2025-02-22,Utica,41.0,1362.43,home goods,False
2025-04-10,Rome,49.0,1636.11,home goods,False
2025-08-15,Utica,128.0,825.6,groceries,False
2025-11-13,Utica,28.0,847.84,home goods,False
2025-03-11,Albany,64.0,1659.52,clothing,False
2025-01-18,Utica,27.0,383.13,toys,False
2025-12-31,Utica,27.0,744.93,home goods,True
2025-04-05,Utica,198.0,1287.0,groceries,False
2025-05-22,Albany,87.0,2061.9,clothing,False
2025-12-17,Syracuse,66.0,1524.6,clothing,False
2025-02-13,Albany,18.0,279.0,toys,False
2025-07-13,Albany,50.0,1666.5,home goods,False
2025-02-16,Utica,20.0,285.0,toys,False
2025-06-21,Rome,68.0,5984.68,electronics,False
2025-10-27,Utica,28.0,415.24,toys,False
2025-12-14,Rome,41.0,3419.81,electronics,False
2025-01-06,Albany,24.0,335.28,toys,False
2025-07-02,Utica,41.0,1164.81,home goods,False
2025-05-08,Syracuse,61.0,1500.6,clothing,False
2025-05-18,Utica,77.0,1858.78,clothing,False
2025-10-15,Syracuse,40.0,1298.4,home goods,False
2025-04-13,Rome,86.0,2132.8,clothing,False
2025-05-23,Albany,40.0,1394.4,home goods,False
2025-10-07,Albany,55.0,1372.8,clothing,False
2025-12-23,Albany,128.0,861.44,groceries,False
2025-10-02,Syracuse,28.0,432.32,toys,False
2025-07-20,Rome,117.0,809.64,groceries,False
2025-06-22,Albany,38.0,1298.84,home goods,False
2025-08-11,Albany,138.0,950.82,groceries,False
2025-10-17,Syracuse,59.0,1436.06,clothing,False
2025-05-03,Syracuse,144.0,874.08,groceries,False
2025-01-12,Rome,202.0,1288.76,groceries,False
2025-03-06,Albany,19.0,277.97,toys,False
2025-01-13,Albany,36.0,1068.48,home goods,False
2025-05-18,Rome,39.0,602.94,toys,False
2025-07-20,Syracuse,218.0,1506.38,groceries,False
2025-04-04,Utica,49.0,1267.14,clothing,False
2025-01-11,Syracuse,53.0,1635.05,home goods,False
2025-03-01,Utica,34.0,512.38,toys,False
2025-03-18,Rome,18.0,600.84,home goods,False
2025-06-07,Syracuse,81.0,1964.25,clothing,False
2025-12-26,Syracuse,25.0,2293.5,electronics,False
2025-06-01,Syracuse,127.0,3112.77,clothing,False
2025-01-12,Rome,21.0,301.98,toys,False
2025-08-05,Albany,59.0,1292.69,clothing,False
2025-12-28,Albany,45.0,1581.75,home goods,False
2025-06-29,Albany,46.0,711.0,toys,True
2025-12-12,Syracuse,49.0,1527.33,home goods,False
2025-01-07,Albany,30.0,442.5,toys,False
2025-10-10,Rome,176.0,1135.2,groceries,False
2025-03-28,Syracuse,13.0,200.33,toys,False
2025-10-10,Utica,28.0,2213.96,electronics,False
2025-03-31,Albany,31.0,993.55,home goods,True
2025-12-12,Utica,116.0,787.64,groceries,False
2025-03-08,Utica,81.0,2062.26,clothing,False
2025-02-08,Utica,162.0,994.68,groceries,False
2025-03-26,Utica,95.0,658.35,groceries,False
2025-07-09,Albany,36.0,3306.96,electronics,False
2025-03-01,Rome,60.0,4849.8,electronics,False
2025-11-05,Rome,162.0,1046.52,groceries,False
2025-05-16,Rome,54.0,4811.4,electronics,False
2025-04-11,Rome,43.0,3948.69,electronics,False
2025-08-25,Rome,24.0,374.16,toys,False
2025-09-30,Utica,60.0,5475.0,electronics,True
2025-08-26,Syracuse,116.0,874.64,groceries,False
2025-10-10,Rome,27.0,2253.15,electronics,False
2025-12-30,Rome,48.0,322.08,groceries,True
2025-05-20,Rome,38.0,3220.5,electronics,False
2025-02-25,Syracuse,46.0,1580.1,home goods,False
2025-05-04,Rome,35.0,508.9,toys,False
2025-07-18,Rome,110.0,669.9,groceries,False
2025-08-18,Rome,27.0,417.96,toys,False
2025-03-30,Syracuse,166.0,966.12,groceries,True
2025-12-31,Syracuse,44.0,1471.8,home goods,True
2025-05-07,Utica,41.0,1149.23,home goods,False
2025-12-08,Albany,36.0,3045.24,electronics,False
2025-12-21,Albany,87.0,1989.69,clothing,False
2025-05-11,Syracuse,131.0,1128.13,groceries,False
2025-09-27,Syracuse,44.0,1390.4,home goods,False
2025-03-01,Syracuse,62.0,1488.62,clothing,False
2025-02-18,Utica,66.0,1497.54,clothing,False
2025-06-17,Albany,71.0,1654.3,clothing,False
2025-11-26,Albany,35.0,1150.1,home goods,False
2025-07-19,Utica,79.0,1981.32,clothing,False
2025-10-26,Utica,62.0,1454.52,clothing,False
2025-06-05,Albany,46.0,690.42,groceries,False
2025-06-11,Syracuse,52.0,1151.8,clothing,False
2025-05-06,Utica,39.0,1204.71,home goods,False
2025-01-17,Syracuse,29.0,2514.01,electronics,False
2025-09-12,Albany,83.0,2066.7,clothing,False
2025-04-21,Utica,43.0,1240.12,home goods,False
2025-01-19,Albany,49.0,1416.1,home goods,False
2025-04-14,Syracuse,44.0,1492.04,home goods,False
2025-02-23,Albany,172.0,1131.76,groceries,False
2025-07-16,Utica,85.0,540.6,groceries,False
2025-07-12,Rome,69.0,1620.12,clothing,False
2025-02-10,Albany,128.0,787.2,groceries,False
2025-04-10,Albany,19.0,292.79,toys,False
2025-02-13,Utica,12.0,387.96,home goods,False
2025-06-05,Rome,22.0,312.84,toys,False
2025-02-16,Albany,37.0,1124.8,home goods,False
2025-07-04,Syracuse,33.0,2738.01,electronics,False
2025-09-24,Albany,61.0,5010.54,electronics,False
2025-07-03,Syracuse,28.0,365.4,toys,False
2025-02-02,Rome,86.0,2095.82,clothing,False
2025-04-08,Utica,27.0,415.26,toys,False
2025-05-13,Albany,68.0,1842.12,clothing,False
2025-08-19,Rome,42.0,3470.46,electronics,False
2025-08-22,Utica,46.0,1274.65,clothing,False
2025-04-14,Utica,44.0,3674.88,electronics,False
2025-05-28,Albany,125.0,871.25,groceries,False
2025-12-24,Albany,49.0,3971.94,electronics,False
2025-04-16,Utica,62.0,1360.9,clothing,False
2025-08-29,Rome,126.0,808.92,groceries,True
2025-11-27,Syracuse,37.0,576.46,toys,False
2025-09-15,Albany,106.0,680.52,groceries,False
2025-09-12,Utica,30.0,912.6,home goods,False
2025-08-03,Syracuse,74.0,1623.56,clothing,False
2025-11-30,Rome,23.0,336.95,toys,True
2025-04-29,Utica,49.0,1193.15,clothing,True
2025-11-18,Utica,17.0,264.01,toys,False
2025-02-27,Rome,31.0,439.89,toys,True
2025-08-26,Albany,22.0,707.52,home goods,False
2025-11-18,Rome,31.0,2671.89,electronics,False
2025-08-22,Syracuse,145.0,930.9,groceries,False
2025-09-17,Albany,46.0,1539.62,home goods,False
2025-09-27,Utica,71.0,5524.51,electronics,False
2025-12-08,Syracuse,53.0,4426.56,electronics,False
2025-02-27,Syracuse,33.0,1153.35,home goods,True
2025-08-28,Albany,16.0,529.44,home goods,False
2025-09-08,Utica,14.0,211.96,toys,False
2025-07-26,Syracuse,141.0,960.21,groceries,False
2025-03-19,Rome,35.0,1200.15,home goods,False
2025-04-19,Rome,46.0,1071.0,groceries,False
2025-07-09,Utica,45.0,3942.45,electronics,False
2025-02-06,Rome,58.0,1321.24,clothing,False
2025-07-26,Syracuse,59.0,1431.34,clothing,False
2025-10-14,Utica,34.0,1126.42,home goods,False
2025-02-03,Syracuse,51.0,4301.85,electronics,False
2025-02-11,Syracuse,73.0,1646.88,clothing,False
2025-09-23,Utica,155.0,996.65,groceries,False
2025-03-13,Utica,47.0,3701.72,electronics,False
2025-06-24,Albany,45.0,3632.85,electronics,False
2025-02-19,Albany,46.0,1018.44,clothing,False
2025-12-13,Albany,143.0,932.36,groceries,False
2025-02-02,Syracuse,42.0,3703.56,electronics,False
2025-08-18,Syracuse,105.0,637.35,groceries,False
2025-11-16,Rome,153.0,1080.18,groceries,False
2025-04-05,Syracuse,47.0,1508.23,home goods,False
2025-05-04,Syracuse,32.0,449.28,toys,False
2025-03-22,Albany,59.0,5091.11,electronics,False
2025-08-13,Albany,75.0,1813.5,clothing,False
2025-11-19,Rome,30.0,465.9,toys,False
2025-05-05,Rome,55.0,1309.55,clothing,False
2025-06-12,Rome,37.0,1137.38,home goods,False
2025-08-11,Utica,31.0,438.96,toys,False
2025-02-10,Syracuse,124.0,787.4,groceries,False
2025-10-12,Albany,68.0,1846.88,clothing,False
2025-11-10,Rome,42.0,3655.26,electronics,False
2025-09-09,Utica,24.0,340.56,toys,False
2025-06-23,Albany,28.0,2217.88,electronics,False
2025-11-15,Utica,50.0,1262.5,clothing,False
2025-03-13,Syracuse,64.0,1680.0,clothing,False
2025-02-04,Utica,22.0,693.0,home goods,False
2025-11-06,Rome,72.0,524.88,groceries,False
2025-04-13,Utica,39.0,1122.42,home goods,False
2025-02-24,Utica,71.0,1700.45,clothing,False
2025-07-26,Utica,34.0,504.56,toys,False
2025-03-04,Albany,126.0,884.52,groceries,False
2025-03-22,Albany,191.0,1298.8,groceries,False
2025-09-07,Utica,25.0,387.75,toys,False
2025-10-12,Albany,66.0,5866.08,electronics,False
2025-01-14,Utica,52.0,1298.96,clothing,False
2025-10-24,Albany,39.0,3232.32,electronics,False
2025-08-30,Utica,140.0,914.2,groceries,True
2025-01-18,Rome,45.0,3884.4,electronics,False
2025-10-01,Utica,169.0,1128.92,groceries,False
